OFFER_ID,OFFER_DESC,OFFER_TYPE,PRICE,VALIDITY_UNIT,VALIDITY
60245,.MAXIVOICE 80 mins vers MTN a 1450F,VOICE_BUNDLE,1450,LS_VOICE_01,DAY(S)
60245,.MAXIVOICE 80 mins vers MTN a 1450F,VOICE_BUNDLE,1450,LS_VOICE_01,DAY(S)
60245,.MAXIVOICE 80 mins vers MTN a 1450F,VOICE_BUNDLE,1450,LS_VOICE_01,DAY(S)
60245,.MAXIVOICE 80 mins vers MTN a 1450F,VOICE_BUNDLE,1450,LS_VOICE_01,DAY(S)
60246,.MAXIVOICE 10 mins vers MTN a 202F,VOICE_BUNDLE,202,LS_VOICE_01,DAY(S)
60246,.MAXIVOICE 10 mins vers MTN a 202F,VOICE_BUNDLE,202,LS_VOICE_01,DAY(S)
60246,.MAXIVOICE 10 mins vers MTN a 202F,VOICE_BUNDLE,202,LS_VOICE_01,DAY(S)
60246,.MAXIVOICE 10 mins vers MTN a 202F,VOICE_BUNDLE,202,LS_VOICE_01,DAY(S)
60247,.MAXIVOICE 35 mins vers MTN a 550F,VOICE_BUNDLE,550,LS_VOICE_01,DAY(S)
60247,.MAXIVOICE 35 mins vers MTN a 550F,VOICE_BUNDLE,550,LS_VOICE_01,DAY(S)
60247,.MAXIVOICE 35 mins vers MTN a 550F,VOICE_BUNDLE,550,LS_VOICE_01,DAY(S)
60247,.MAXIVOICE 35 mins vers MTN a 550F,VOICE_BUNDLE,550,LS_VOICE_01,DAY(S)
60248,.MAXIVOICE 57 mins vers MTN a 1210F,VOICE_BUNDLE,1210,LS_VOICE_01,DAY(S)
60248,.MAXIVOICE 57 mins vers MTN a 1210F,VOICE_BUNDLE,1210,LS_VOICE_01,DAY(S)
60248,.MAXIVOICE 57 mins vers MTN a 1210F,VOICE_BUNDLE,1210,LS_VOICE_01,DAY(S)
60248,.MAXIVOICE 57 mins vers MTN a 1210F,VOICE_BUNDLE,1210,LS_VOICE_01,DAY(S)
60249,.MAXIVOICE 200 mins vers MTN a 3300F,VOICE_BUNDLE,3300,LS_VOICE_01,DAY(S)
60249,.MAXIVOICE 200 mins vers MTN a 3300F,VOICE_BUNDLE,3300,LS_VOICE_01,DAY(S)
60249,.MAXIVOICE 200 mins vers MTN a 3300F,VOICE_BUNDLE,3300,LS_VOICE_01,DAY(S)
60249,.MAXIVOICE 200 mins vers MTN a 3300F,VOICE_BUNDLE,3300,LS_VOICE_01,DAY(S)
60250,.MAXIVOICE 13 mins vers MTN a 312F,VOICE_BUNDLE,312,LS_VOICE_01,DAY(S)
60250,.MAXIVOICE 13 mins vers MTN a 312F,VOICE_BUNDLE,312,LS_VOICE_01,DAY(S)
60250,.MAXIVOICE 13 mins vers MTN a 312F,VOICE_BUNDLE,312,LS_VOICE_01,DAY(S)
60250,.MAXIVOICE 13 mins vers MTN a 312F,VOICE_BUNDLE,312,LS_VOICE_01,DAY(S)
60251,.MAXIVOICE 45 mins vers MTN a 850F,VOICE_BUNDLE,850,LS_VOICE_01,DAY(S)
60251,.MAXIVOICE 45 mins vers MTN a 850F,VOICE_BUNDLE,850,LS_VOICE_01,DAY(S)
60251,.MAXIVOICE 45 mins vers MTN a 850F,VOICE_BUNDLE,850,LS_VOICE_01,DAY(S)
60251,.MAXIVOICE 45 mins vers MTN a 850F,VOICE_BUNDLE,850,LS_VOICE_01,DAY(S)
60252,.MAXIVOICE 17 mins vers MTN a 385F,VOICE_BUNDLE,385,LS_VOICE_01,DAY(S)
60252,.MAXIVOICE 17 mins vers MTN a 385F,VOICE_BUNDLE,385,LS_VOICE_01,DAY(S)
60252,.MAXIVOICE 17 mins vers MTN a 385F,VOICE_BUNDLE,385,LS_VOICE_01,DAY(S)
60252,.MAXIVOICE 17 mins vers MTN a 385F,VOICE_BUNDLE,385,LS_VOICE_01,DAY(S)
60253,.MAXIVOICE 60 mins vers MTN a 1050F,VOICE_BUNDLE,1050,LS_VOICE_01,DAY(S)
60253,.MAXIVOICE 60 mins vers MTN a 1050F,VOICE_BUNDLE,1050,LS_VOICE_01,DAY(S)
60253,.MAXIVOICE 60 mins vers MTN a 1050F,VOICE_BUNDLE,1050,LS_VOICE_01,DAY(S)
60253,.MAXIVOICE 60 mins vers MTN a 1050F,VOICE_BUNDLE,1050,LS_VOICE_01,DAY(S)
60254,.MAXIVOICE 34 mins vers MTN a 770F,VOICE_BUNDLE,770,LS_VOICE_01,DAY(S)
60254,.MAXIVOICE 34 mins vers MTN a 770F,VOICE_BUNDLE,770,LS_VOICE_01,DAY(S)
60254,.MAXIVOICE 34 mins vers MTN a 770F,VOICE_BUNDLE,770,LS_VOICE_01,DAY(S)
60254,.MAXIVOICE 34 mins vers MTN a 770F,VOICE_BUNDLE,770,LS_VOICE_01,DAY(S)
60255,.MAXIVOICE 120 mins vers MTN a 2100F,VOICE_BUNDLE,2100,LS_VOICE_01,DAY(S)
60255,.MAXIVOICE 120 mins vers MTN a 2100F,VOICE_BUNDLE,2100,LS_VOICE_01,DAY(S)
60255,.MAXIVOICE 120 mins vers MTN a 2100F,VOICE_BUNDLE,2100,LS_VOICE_01,DAY(S)
60255,.MAXIVOICE 120 mins vers MTN a 2100F,VOICE_BUNDLE,2100,LS_VOICE_01,DAY(S)
60256,.MAXIVOICE 9 mins vers MTN a 202F,VOICE_BUNDLE,202,LS_VOICE_01,DAY(S)
